sample_id,depth,nrs_trip_code,nrs_sample_code,amplicon,g__Chattonella_abundance_20K,g__Heterosigma_abundance_20K,g__Pseudochattonella_abundance_20K,g__Trichodesmium_abundance_20K,s__Noctiluca_scintillans_abundance_20K
102.100.100/139714,0.0,DAR20171009,DAR20171009_0,18Sv4F18Sv4R_v4_eukaryote,,,6,,1
102.100.100/139714,0.0,DAR20171009,DAR20171009_0,27f519r_bacteria,,,,33,
102.100.100/139715,0.0,DAR20180509,DAR20180509_0,18Sv4F18Sv4R_v4_eukaryote,,,,,5
102.100.100/139716,0.0,DAR20181030,DAR20181030_0,18Sv4F18Sv4R_v4_eukaryote,1,3,,,
102.100.100/139716,0.0,DAR20181030,DAR20181030_0,27f519r_bacteria,,,,4,
102.100.100/139717,0.0,DAR20191105,DAR20191105_0,27f519r_bacteria,,,,44,
102.100.100/139718,0.0,DAR20190529,DAR20190529_0,18Sv4F18Sv4R_v4_eukaryote,,5,,,1
102.100.100/139719,0.0,KAI20170908,KAI20170908_0,18Sv4F18Sv4R_v4_eukaryote,,,9,,9
102.100.100/139720,0.0,KAI20171129,KAI20171129_0,18Sv4F18Sv4R_v4_eukaryote,,,493,,3
102.100.100/139721,0.0,KAI20180307,KAI20180307_0,18Sv4F18Sv4R_v4_eukaryote,,,193,,12
102.100.100/139722,0.0,KAI20180515,KAI20180515_0,18Sv4F18Sv4R_v4_eukaryote,,,59,,
102.100.100/139723,0.0,KAI20181204,KAI20181204_0,18Sv4F18Sv4R_v4_eukaryote,,,208,,133
102.100.100/139724,0.0,KAI20191127,KAI20191127_0,18Sv4F18Sv4R_v4_eukaryote,,,441,,108
102.100.100/139725,0.0,KAI20190320,KAI20190320_0,18Sv4F18Sv4R_v4_eukaryote,,,519,,4
102.100.100/139726,0.0,KAI20190909,KAI20190909_0,18Sv4F18Sv4R_v4_eukaryote,,,21,,92
102.100.100/139727,0.0,MAI20170921,MAI20170921_0,18Sv4F18Sv4R_v4_eukaryote,,3,14,,2
102.100.100/139728,85.0,MAI20170921,MAI20170921_85,18Sv4F18Sv4R_v4_eukaryote,,4,1,,15
102.100.100/139729,0.0,MAI20171123,MAI20171123_0,18Sv4F18Sv4R_v4_eukaryote,9,,180,,
102.100.100/139730,0.0,MAI20171217,MAI20171217_0,18Sv4F18Sv4R_v4_eukaryote,,,274,,1
102.100.100/139731,0.0,MAI20180116,MAI20180116_0,18Sv4F18Sv4R_v4_eukaryote,,3,58,,3
102.100.100/139732,0.0,MAI20180301,MAI20180301_0,18Sv4F18Sv4R_v4_eukaryote,2,18,8,,51
102.100.100/139733,0.0,MAI20180315,MAI20180315_0,18Sv4F18Sv4R_v4_eukaryote,,4,29,,66
102.100.100/139734,0.0,MAI20180418,MAI20180418_0,18Sv4F18Sv4R_v4_eukaryote,,1,,,216
102.100.100/139735,0.0,MAI20180605,MAI20180605_0,18Sv4F18Sv4R_v4_eukaryote,,,13,,8
102.100.100/139736,0.0,MAI20180627,MAI20180627_0,18Sv4F18Sv4R_v4_eukaryote,,,2,,8
102.100.100/139737,0.0,MAI20180711,MAI20180711_0,18Sv4F18Sv4R_v4_eukaryote,,1,6,,1
102.100.100/139738,0.0,MAI20180919,MAI20180919_0,18Sv4F18Sv4R_v4_eukaryote,,4,10,,345
102.100.100/139739,0.0,MAI20181018,MAI20181018_0,18Sv4F18Sv4R_v4_eukaryote,,15,27,,4788
102.100.100/139740,0.0,MAI20181204,MAI20181204_0,18Sv4F18Sv4R_v4_eukaryote,,149,16,,1876
102.100.100/139741,0.0,MAI20190106,MAI20190106_0,18Sv4F18Sv4R_v4_eukaryote,,3,80,,847
102.100.100/139742,0.0,MAI20190320,MAI20190320_0,18Sv4F18Sv4R_v4_eukaryote,,2,53,,262
102.100.100/139743,0.0,MAI20190624,MAI20190624_0,18Sv4F18Sv4R_v4_eukaryote,,,8,,
102.100.100/139744,0.0,MAI20190731,MAI20190731_0,18Sv4F18Sv4R_v4_eukaryote,,,,,4
102.100.100/139745,0.0,MAI20190828,MAI20190828_0,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/139746,0.0,MAI20190925,MAI20190925_0,18Sv4F18Sv4R_v4_eukaryote,,,,,57
102.100.100/139747,0.0,MAI20191015,MAI20191015_0,18Sv4F18Sv4R_v4_eukaryote,,,32,,574
102.100.100/139748,0.0,MAI20191121,MAI20191121_0,18Sv4F18Sv4R_v4_eukaryote,,1,,,2
102.100.100/139749,0.0,MAI20191210,MAI20191210_0,18Sv4F18Sv4R_v4_eukaryote,,,2,,626
102.100.100/139750,0.0,MAI20200223,MAI20200223_0,18Sv4F18Sv4R_v4_eukaryote,1,10,46,,404
102.100.100/139751,0.0,MAI20200106,MAI20200106_0,18Sv4F18Sv4R_v4_eukaryote,,,333,,1326
102.100.100/139752,0.0,NSI20170829,NSI20170829_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,14
102.100.100/139753,0.0,NSI20170927,NSI20170927_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,1
102.100.100/139753,0.0,NSI20170927,NSI20170927_0,27f519r_bacteria,,,,41,
102.100.100/139754,0.0,NSI20171023,NSI20171023_0,18Sv4F18Sv4R_v4_eukaryote,,,12,,
102.100.100/139754,0.0,NSI20171023,NSI20171023_0,27f519r_bacteria,,,,11,
102.100.100/139755,0.0,NSI20171116,NSI20171116_0,18Sv4F18Sv4R_v4_eukaryote,,,19,,5
102.100.100/139755,0.0,NSI20171116,NSI20171116_0,27f519r_bacteria,,,,25,
102.100.100/139756,0.0,NSI20171219,NSI20171219_0,18Sv4F18Sv4R_v4_eukaryote,,,51,,19
102.100.100/139756,0.0,NSI20171219,NSI20171219_0,27f519r_bacteria,,,,110,
102.100.100/139757,0.0,NSI20180123,NSI20180123_0,18Sv4F18Sv4R_v4_eukaryote,,,40,,1
102.100.100/139757,0.0,NSI20180123,NSI20180123_0,27f519r_bacteria,,,,235,
102.100.100/139758,0.0,NSI20180302,NSI20180302_0,18Sv4F18Sv4R_v4_eukaryote,,,76,,1
102.100.100/139758,0.0,NSI20180302,NSI20180302_0,27f519r_bacteria,,,,57,
102.100.100/139759,0.0,NSI20180320,NSI20180320_0,18Sv4F18Sv4R_v4_eukaryote,,,31,,
102.100.100/139759,0.0,NSI20180320,NSI20180320_0,27f519r_bacteria,,,,255,
102.100.100/139760,0.0,NSI20180417,NSI20180417_0,18Sv4F18Sv4R_v4_eukaryote,,,27,,2
102.100.100/139760,0.0,NSI20180417,NSI20180417_0,27f519r_bacteria,,,,20,
102.100.100/139761,0.0,NSI20180530,NSI20180530_0,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/139761,0.0,NSI20180530,NSI20180530_0,27f519r_bacteria,,,,16,
102.100.100/139762,0.0,NSI20180718,NSI20180718_0,18Sv4F18Sv4R_v4_eukaryote,,,6,,1
102.100.100/139762,0.0,NSI20180718,NSI20180718_0,27f519r_bacteria,,,,6,
102.100.100/139763,0.0,NSI20180817,NSI20180817_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,2
102.100.100/139763,0.0,NSI20180817,NSI20180817_0,27f519r_bacteria,,,,19,
102.100.100/139764,0.0,NSI20180913,NSI20180913_0,18Sv4F18Sv4R_v4_eukaryote,,,19,,6
102.100.100/139764,0.0,NSI20180913,NSI20180913_0,27f519r_bacteria,,,,9,
102.100.100/139765,0.0,NSI20181023,NSI20181023_0,18Sv4F18Sv4R_v4_eukaryote,,,107,,3
102.100.100/139765,0.0,NSI20181023,NSI20181023_0,27f519r_bacteria,,,,14,
